MODEL=meta-llama/Llama-2-7b-hf  layers=32  hidden=4096  n_train=16800 n_test=7200  preceding=3

CROSS-TYPE: mlp <- attention (held-out)
 lyr    self   local    ctrl
   0   0.644   0.547   1.018
   1   0.140   0.102   1.046
   2   0.898   0.915   1.098
   3   0.919   0.964   1.095
   4   0.872   0.892   1.099
   5   0.888   0.947   1.091
   6   0.881   0.926   1.092
   7   0.886   0.935   1.093
   8   0.883   0.935   1.091
   9   0.885   0.939   1.095
  10   0.874   0.922   1.093
  11   0.879   0.940   1.091
  12   0.893   0.955   1.096
  13   0.888   0.954   1.095
  14   0.906   0.971   1.097
  15   0.903   0.975   1.096
  16   0.880   0.927   1.096
  17   0.890   0.965   1.100
  18   0.905   0.972   1.103
  19   0.917   0.990   1.102
  20   0.880   0.952   1.094
  21   0.899   0.940   1.106
  22   0.887   0.974   1.100
  23   0.919   0.981   1.109
  24   0.923   1.010   1.100
  25   0.932   1.009   1.097
  26   0.934   1.021   1.101
  27   0.931   1.022   1.105
  28   0.931   1.025   1.102
  29   0.903   0.977   1.106
  30   0.458   0.225   1.128
  31   0.483   0.463   1.071
mean cross-type: self=0.841 local=0.884

CROSS-BLOCK: mlp <- preceding layers' mlp (held-out)
mean cross-block err = 0.964  (control ~1.0)

ViT ref (DeiT-Small): cross-type local~0.72, cross-block~0.6-0.9 (weak).
